"month"	"water.noise"	"number.whales"
"May"	"low"	7
"May"	"medium"	13
"May"	"medium"	12
"May"	"medium"	10
"May"	"medium"	12
"May"	"high"	10
"May"	"medium"	5
"May"	"medium"	8
"May"	"medium"	11
"May"	"medium"	12
"May"	"medium"	9
"May"	"low"	11
"May"	"medium"	11
"May"	"low"	12
"May"	"low"	12
"May"	"low"	12
"May"	"medium"	17
"May"	"low"	11
"May"	"medium"	7
"May"	"medium"	5
"May"	"medium"	9
"May"	"medium"	4
"May"	"low"	13
"May"	"low"	11
"May"	"low"	12
"May"	"low"	11
"May"	"medium"	15
"May"	"low"	10
"May"	"low"	12
"May"	"low"	18
"May"	"low"	0
"May"	"low"	14
"May"	"low"	18
"May"	"low"	7
"May"	"low"	11
"May"	"low"	10
"May"	"medium"	21
"May"	"low"	10
"May"	"low"	14
"May"	"low"	NA
"May"	"medium"	10
"May"	"medium"	11
"May"	"medium"	14
"May"	"medium"	8
"May"	"medium"	10
"May"	"high"	17
"May"	"high"	7
"May"	"high"	28
"May"	"medium"	13
"May"	"medium"	13
"October"	"medium"	5
"October"	"high"	12
"October"	"high"	9
"October"	"high"	9
"October"	"high"	25
"October"	"high"	1
"October"	"high"	10
"October"	"high"	8
"October"	"high"	15
"October"	"medium"	6
"October"	"medium"	8
"October"	"medium"	17
"October"	"medium"	11
"October"	"medium"	7
"October"	"high"	8
"October"	"medium"	12
"October"	"medium"	7
"October"	"medium"	11
"October"	"high"	9
"October"	"medium"	13
"October"	"medium"	17
"October"	"medium"	11
"October"	"high"	19
"October"	"medium"	7
"October"	"low"	16
"October"	"medium"	5
"October"	"low"	9
"October"	"low"	12
"October"	"medium"	18
"October"	"low"	21
"October"	"medium"	9
"October"	"medium"	10
"October"	"medium"	14
"October"	"medium"	19
"October"	"low"	12
"October"	"medium"	18
"October"	"medium"	0
"October"	"medium"	16
"October"	"medium"	25
"October"	"medium"	5
"October"	"low"	12
"October"	"medium"	15
"October"	"medium"	13
"October"	"medium"	6
"October"	"medium"	20
"October"	"medium"	10
"October"	"medium"	16
"October"	"medium"	9
"October"	"medium"	6
"October"	"medium"	10
